age,first_device_type,gender,signup_app,signup_method,Month_name,month_looking,children,signup_location,Continent
56,Windows Desktop,FEMALE,Web,basic,Sep,Mar,5,Europe,North America
46,Mac Desktop,FEMALE,Web,basic,Jan,Mar,2,Europe,North America
47,Mac Desktop,FEMALE,Web,basic,Jan,Jul,4,Europe,North America
50,Mac Desktop,FEMALE,Web,basic,Jan,Feb,2,Europe,North America
36,Mac Desktop,FEMALE,Web,basic,Jan,Apr,1,North America,North America
33,Windows Desktop,FEMALE,Web,basic,Jan,Nov,3,North America,North America
29,Mac Desktop,FEMALE,Web,basic,Jan,Dec,2,Europe,Europe
30,Mac Desktop,MALE,Web,basic,Jan,Oct,3,North America,North America
26,Mac Desktop,FEMALE,Web,basic,Jan,Jul,1,North America,Europe
32,Desktop (Other),FEMALE,Web,basic,Jan,Feb,1,Australia,North America
31,Mac Desktop,FEMALE,Web,basic,Jan,Jan,0,Europe,North America
30,Mac Desktop,FEMALE,Web,basic,Jan,Feb,1,North America,North America
44,Windows Desktop,FEMALE,Web,basic,Jan,Oct,1,Europe,North America
52,Windows Desktop,MALE,Web,basic,Jan,Jan,0,Australia,North America
35,Windows Desktop,MALE,Web,basic,Jan,Jan,0,North America,North America
57,Windows Desktop,FEMALE,Web,basic,Feb,Oct,1,Europe,Europe
30,Mac Desktop,FEMALE,Web,basic,Feb,Apr,3,North America,North America
32,Windows Desktop,FEMALE,Web,basic,Feb,May,5,Europe,North America
33,Mac Desktop,MALE,Web,basic,Feb,Jan,4,North America,North America
46,Windows Desktop,FEMALE,Web,facebook,Feb,Jan,0,Europe,North America
40,Mac Desktop,FEMALE,Web,basic,Feb,May,0,Europe,Europe
57,Mac Desktop,FEMALE,Web,basic,Feb,Feb,4,North America,North America
47,Windows Desktop,FEMALE,Web,basic,Feb,Aug,1,Australia,North America
34,Windows Desktop,MALE,Web,basic,Feb,Apr,3,Europe,North America
69,Mac Desktop,FEMALE,Web,basic,Feb,Mar,2,North America,North America
30,Windows Desktop,FEMALE,Web,basic,Feb,May,4,North America,Europe
29,Mac Desktop,FEMALE,Web,basic,Feb,Aug,2,North America,Europe
